#MaxRadius:0.89956	MaxHeight:200	MaxLength:100
10792
0.79384	89.364	17.106
0.73853	91.037	17.318
0.68452	92.2	16.509
0.81733	93.622	16.973
0.7861	95.044	17.689
0.7229	96.295	18.517
0.6255	97.935	17.719
0.78315	0.76556	20.393
0.68468	1.7607	19.355
0.79069	3.9632	18.792
0.80071	5.5024	19.148
0.67785	6.8526	19.714
0.62686	7.8125	18.831
0.68094	8.8205	18
0.80285	10.575	19.054
0.63082	11.976	19.319
0.69329	13.291	19.271
0.65349	14.62	19.181
0.78927	15.635	20.199
0.6032	16.907	19.499
0.80029	18.174	18.905
0.56582	19.38	19.533
0.66832	20.51	19.048
0.67928	21.837	18.867
0.76052	23.267	18.739
0.80722	24.827	18.732
0.71488	26.335	19.032
0.56744	27.583	19.32
0.74983	28.894	19.242
0.6831	30.319	19.127
0.68568	32.356	19.425
0.71009	33.719	19.685
0.54399	35.626	18.659
0.67754	36.56	19.445
0.54507	37.415	18.575
0.60982	38.348	19.248
0.66749	39.951	19.091
