#MaxRadius:0.89956	MaxHeight:62.56	MaxLength:78.2
2634
0.66585	58.154	11.286
0.75985	59.574	11.28
0.71737	61.001	10.927
0.63738	62.366	10.926
0.72596	63.727	10.97
0.65769	65.107	10.911
0.71858	66.466	11.058
0.68926	67.867	11.07
0.63997	69.416	10.997
0.67948	70.732	11.079
0.61656	72.207	11.118
0.65353	73.365	10.596
0.79944	74.828	10.674
0.71387	75.881	11.749
0.68597	77.228	12.077
0.69182	77.821	10.837
0.72129	1.13	13.917
0.78268	2.0847	11.852
0.74369	3.5527	12.241
0.84163	5.0672	12.681
0.69419	7.6638	11.555
0.76416	8.5324	12.714
0.69964	9.9861	12.807
0.69434	11.373	12.756
0.634	12.649	12.407
0.71325	13.918	12.847
0.59891	15.202	12.594
0.68911	16.359	13.145
0.67385	17.504	12.407
0.6508	18.688	12.999
0.64627	20.697	13.643
0.66009	22.371	13.672
0.71562	23.608	13.075
0.67974	24.981	12.83
0.69269	26.352	12.783
0.66154	27.712	12.589
0.57239	29.004	12.407
0.81016	30.133	13.203
0.55295	31.791	13.097
0.58962	32.332	11.56
0.82988	33.118	12.738
0.76989	34.686	12.456
0.68473	36.132	12.446
0.84649	38.549	12.352
0.76223	40.081	11.873
0.62533	41.098	12.818
0.70116	42.639	12.477
0.67248	43.804	13.187
0.68051	44.146	11.881
0.84606	45.609	11.444
0.65508	47.042	11.873
0.70754	49.353	12.203
0.66029	51.871	12.071
0.63327	53.147	11.902
0.72753	54.468	12.198
0.72358	55.888	12.458
0.70608	57.288	12.729
0.79673	58.78	12.614
0.77632	60.328	12.877
0.80338	61.767	12.235
0.77949	63.334	12.42
0.73824	64.838	12.271
0.80731	67.177	12.397
0.62574	68.726	12.055
0.82806	70.067	12.605
0.66531	71.493	12.182
0.6456	72.797	12.231
0.59176	73.911	11.712
0.70661	74.799	12.653
0.69654	76.397	13.182
0.64507	77.789	13.276
0.66613	1.2783	15.284
0.69595	2.3975	13.289
0.79726	3.8127	13.755
0.77934	5.2956	14.281
0.80171	6.6686	13.038
0.7317	7.8376	14.026
0.66745	9.2418	13.955
0.62601	10.669	13.94
0.77106	12.41	13.787
0.60083	13.728	14.146
0.76629	15.078	13.951
0.70553	16.425	14.535
0.69627	17.59	13.768
0.74104	19.422	14.178
0.59857	20.565	14.874
0.63788	21.799	14.834
0.7307	23.358	14.642
0.59448	24.52	14.012
0.58356	25.689	13.873
0.62085	27.219	13.769
0.7858	28.623	13.709
0.771	29.761	14.769
0.8024	31.273	14.34
0.73978	32.811	14.274
0.7001	34.18	13.833
0.76679	35.945	13.885
0.71086	37.272	13.236
0.69042	38.508	13.887
0.74759	39.841	13.361
0.68106	42.041	13.717
0.68673	43.224	14.413
0.54242	44.726	13.964
0.64454	45.07	12.83
0.67285	46.372	13.008
0.69153	48.066	12.733
0.70562	49.155	13.601
0.84938	50.651	13.103
0.73495	52.204	13.415
0.72542	53.661	13.4
0.6529	55.031	13.529
0.71551	56.369	13.809
0.68976	57.749	14.04
0.60154	59.035	13.985
0.77658	61.605	13.803
0.72819	63.103	13.905
0.6636	64.462	13.617
0.6646	65.917	13.158
0.70337	67.061	13.898
0.71833	68.365	13.344
0.80546	69.629	14.176
0.63367	70.992	13.735
0.59574	72.123	13.272
0.83786	73.529	13.517
0.72695	75.239	14.01
0.61596	76.453	14.572
0.73442	77.795	14.65
0.58613	0.59722	16.324
0.7666	2.5952	14.732
0.66793	4.1571	15.174
0.6842	5.3857	15.737
0.8041	6.6858	15.031
0.85195	8.2542	15.545
0.75482	10.007	15.151
0.76873	11.524	15.038
0.6888	12.97	15.189
0.75503	14.406	15.315
0.60315	15.72	15.629
0.6631	17.19	15.665
0.64532	18.255	14.92
0.81106	19.452	15.729
0.64934	21.124	15.984
0.59581	22.367	15.927
0.79157	23.74	16.109
0.76038	25.036	15.259
0.74394	26.498	14.923
0.62902	27.87	14.903
0.8507	28.848	16.108
